palette,subpatch,payload_size,bits_per_symbol,corruption,symbol_error_rate,decode_success_rate,bits_per_patch,trials,total_patches,base64_token_est,token_ratio,heliogram_cheaper_bool,lm_tokens_2x2,lm_token_ratio
2,1,48,1,clean,0.000000,1.0000,0.526749,3,729,64,11.390625,False,196,3.062500
2,1,48,1,resize_3pct,0.000000,1.0000,0.526749,3,729,64,11.390625,False,196,3.062500
2,1,48,1,resize_5pct,0.000000,1.0000,0.526749,3,729,64,11.390625,False,196,3.062500
2,1,48,1,jpeg_q95,0.000000,1.0000,0.526749,3,729,64,11.390625,False,196,3.062500
2,1,48,1,jpeg_q85,0.000000,1.0000,0.526749,3,729,64,11.390625,False,196,3.062500
2,1,48,1,jpeg_q70,0.000000,1.0000,0.526749,3,729,64,11.390625,False,196,3.062500
2,1,48,1,crop_pad_2px,0.000000,1.0000,0.526749,3,729,64,11.390625,False,196,3.062500
2,1,48,1,combined,0.000000,1.0000,0.526749,3,729,64,11.390625,False,196,3.062500
2,1,1024,1,clean,0.000000,1.0000,0.844362,3,9702,1368,7.092105,False,2450,1.790936
2,1,1024,1,resize_3pct,0.000000,1.0000,0.844362,3,9702,1368,7.092105,False,2450,1.790936
2,1,1024,1,resize_5pct,0.000000,1.0000,0.844362,3,9702,1368,7.092105,False,2450,1.790936
2,1,1024,1,jpeg_q95,0.000000,1.0000,0.844362,3,9702,1368,7.092105,False,2450,1.790936
2,1,1024,1,jpeg_q85,0.000000,1.0000,0.844362,3,9702,1368,7.092105,False,2450,1.790936
2,1,1024,1,jpeg_q70,0.000000,1.0000,0.844362,3,9702,1368,7.092105,False,2450,1.790936
2,1,1024,1,crop_pad_2px,0.000000,1.0000,0.844362,3,9702,1368,7.092105,False,2450,1.790936
2,1,1024,1,combined,0.000000,1.0000,0.844362,3,9702,1368,7.092105,False,2450,1.790936
2,1,4096,1,clean,0.000000,1.0000,0.861749,3,38025,5464,6.959187,False,9604,1.757687
2,1,4096,1,resize_3pct,0.000000,1.0000,0.861749,3,38025,5464,6.959187,False,9604,1.757687
2,1,4096,1,resize_5pct,0.000000,1.0000,0.861749,3,38025,5464,6.959187,False,9604,1.757687
2,1,4096,1,jpeg_q95,0.000000,1.0000,0.861749,3,38025,5464,6.959187,False,9604,1.757687
2,1,4096,1,jpeg_q85,0.000000,1.0000,0.861749,3,38025,5464,6.959187,False,9604,1.757687
2,1,4096,1,jpeg_q70,0.000000,1.0000,0.861749,3,38025,5464,6.959187,False,9604,1.757687
2,1,4096,1,crop_pad_2px,0.000000,1.0000,0.861749,3,38025,5464,6.959187,False,9604,1.757687
2,1,4096,1,combined,0.000000,1.0000,0.861749,3,38025,5464,6.959187,False,9604,1.757687
2,1,16384,1,clean,0.000000,1.0000,0.870656,3,150544,21848,6.890516,False,37636,1.722629
2,1,16384,1,resize_3pct,0.000000,1.0000,0.870656,3,150544,21848,6.890516,False,37636,1.722629
2,1,16384,1,resize_5pct,0.000000,1.0000,0.870656,3,150544,21848,6.890516,False,37636,1.722629
2,1,16384,1,jpeg_q95,0.000000,1.0000,0.870656,3,150544,21848,6.890516,False,37636,1.722629
2,1,16384,1,jpeg_q85,0.000000,1.0000,0.870656,3,150544,21848,6.890516,False,37636,1.722629
2,1,16384,1,jpeg_q70,0.000000,1.0000,0.870656,3,150544,21848,6.890516,False,37636,1.722629
2,1,16384,1,crop_pad_2px,0.000000,1.0000,0.870656,3,150544,21848,6.890516,False,37636,1.722629
2,1,16384,1,combined,0.000000,1.0000,0.870656,3,150544,21848,6.890516,False,37636,1.722629
2,2,48,1,clean,0.000000,1.0000,1.959184,3,196,64,3.062500,False,49,0.765625
2,2,48,1,resize_3pct,0.000000,1.0000,1.959184,3,196,64,3.062500,False,49,0.765625
2,2,48,1,resize_5pct,0.000000,1.0000,1.959184,3,196,64,3.062500,False,49,0.765625
2,2,48,1,jpeg_q95,0.000000,1.0000,1.959184,3,196,64,3.062500,False,49,0.765625
